"...1","regiao","ibge","municipio","pib_per_capita","uf","vab","Impostos","populacao","taxa_analfabetismo","percentage_votos_centrao","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita","Comércio e reparação de veículos automotores e motocicletas","Construção","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Indústrias de transformação","Indústrias extrativas","Pecuária, inclusive apoio à pecuária","Produção florestal, pesca e aquicultura","num_bolsa","percent_bolsa","Emendas","percent_transfer","percent_empregado_mun"
18,"Norte",1100262,"RIO CRESPO",47991.2,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",6197.629,3842.99973745187,0.0783,0.457827772778403,0,1,0,0,0,0,0,0,0,0,181,0.0470986240868217,3620402,0.950631383052345,0.533913043478261
19,"Norte",1100288,"ROLIM DE MOURA",28076.24,"RO","Administração, defesa, educação e saúde públicas e seguridade social",180999.77,55747.9911127701,0.065,0.178460300026089,1,0,0,0,0,0,0,0,0,0,1636,0.0293463489418051,12481388.73,0.729510696535973,0.109388869921475
21,"Norte",1100304,"VILHENA",40328.81,"RO","Comércio e reparação de veículos automotores e motocicletas",681825.82,104516.988252319,0.0475,0.172957857511616,0,0,1,0,0,0,0,0,0,0,2611,0.0249815847515303,9955094.3,0.635486980810293,0.0955304824834809
22,"Norte",1100320,"SÃO MIGUEL DO GUAPORÉ",39112.42,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",65761.708,23147.0022821395,0.0731999999999999,0.406054080890707,0,1,0,0,0,0,0,0,0,0,929,0.0401347867285962,5111658,0.857415778644762,0.228307254623044
23,"Norte",1100338,"NOVA MAMORÉ",23076.28,"RO","Pecuária, inclusive apoio à pecuária",32970.961,32184.0027942112,0.0931,0.372061624388073,0,0,0,0,0,0,0,0,1,0,1346,0.0418220197346646,6366553.39,0.872308795237761,0.407105847520355
25,"Norte",1100379,"ALTO ALEGRE DOS PARECIS",36454.01,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",20512.838,13268.000968892,0.0920999999999999,0.575061975051975,0,1,0,0,0,0,0,0,0,0,784,0.0590895344248282,2936160.89,0.915918386203437,0.454124903623747
26,"Norte",1100403,"ALTO PARAÍSO",22929.34,"RO","Administração, defesa, educação e saúde públicas e seguridade social",32334.7,22258.002061987,0.0827,0.451989472140763,1,0,0,0,0,0,0,0,0,0,1088,0.0488812965768445,1864524,0.902089282074658,0.328411405295316
27,"Norte",1100452,"BURITIS",23549.74,"RO","Administração, defesa, educação e saúde públicas e seguridade social",73300.971,41043.0043813647,0.0754000000000001,0.650312530253025,1,0,0,0,0,0,0,0,0,0,1798,0.0438077091845735,8331607.66,0.806605415150196,0.241869480939048
28,"Norte",1100502,"NOVO HORIZONTE DO OESTE",28492.53,"RO","Pecuária, inclusive apoio à pecuária",11121.271,8124.99932438432,0.0997,0.515039161058771,0,0,0,0,0,0,0,0,1,0,601,0.0739692369199725,3499807,0.854985678249643,0.348700754400671
29,"Norte",1100601,"CACAULÂNDIA",43655.88,"RO","Pecuária, inclusive apoio à pecuária",7656.03,6307.0001337735,0.1192,0.815346463223787,0,0,0,0,0,0,0,0,1,0,267,0.0423339138000387,1742275.98,0.854568845456975,0.515151515151515
30,"Norte",1100700,"CAMPO NOVO DE RONDÔNIA",25667.21,"RO","Pecuária, inclusive apoio à pecuária",10992.458,14391.0008917993,0.0954000000000001,0.649665172413793,0,0,0,0,0,0,0,0,1,0,560,0.0389132072334952,4560959,0.849400038750879,0.589249492900609
31,"Norte",1100809,"CANDEIAS DO JAMARI",23357.78,"RO","Administração, defesa, educação e saúde públicas e seguridade social",37085.785,28068.0031235845,0.0813,0.28487646884273,1,0,0,0,0,0,0,0,0,0,2404,0.0856491282766036,2924039,0.910979801926298,0.316645807259074
32,"Norte",1100908,"CASTANHEIRAS",34083.75,"RO","Pecuária, inclusive apoio à pecuária",3219.879,2923.00019804159,0.1019,0.631968762886598,0,0,0,0,0,0,0,0,1,0,208,0.0711597625410221,2674423,0.913345743647323,0.56304347826087
33,"Norte",1100924,"CHUPINGUAIA",39880.28,"RO","Pecuária, inclusive apoio à pecuária",26739.966,11754.9990371181,0.0736,0.432145306553911,0,0,0,0,0,0,0,0,1,0,459,0.0390472171499667,2315343,0.894394055119486,0.226308345120226
34,"Norte",1100940,"CUJUBIM",17967.64,"RO","Administração, defesa, educação e saúde públicas e seguridade social",26537.492,27131.0071328232,0.0766,0.51009064516129,1,0,0,0,0,0,0,0,0,0,1027,0.0378533681028571,7101234,0.870546647164662,0.23940381928272
35,"Norte",1101005,"GOVERNADOR JORGE TEIXEIRA",33566.66,"RO","Pecuária, inclusive apoio à pecuária",7567.245,7129.99955908631,0.1079,0.7280263599182,0,0,0,0,0,0,0,0,1,0,760,0.106591871949203,3170871.82,0.889081568502307,0.490947816826411
36,"Norte",1101104,"ITAPUÃ DO OESTE",19413.13,"RO","Administração, defesa, educação e saúde públicas e seguridade social",10893.545,10818.9983789322,0.0969,0.395941142410016,1,0,0,0,0,0,0,0,0,0,614,0.0567520188556124,3045376.4,0.924430600020962,0.295121951219512
37,"Norte",1101203,"MINISTRO ANDREAZZA",31484.85,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",21614.768,9461.00022709335,0.1101,0.340862130325815,0,1,0,0,0,0,0,0,0,0,524,0.0553852644987184,1470795,0.930115563180085,0.310917030567686
38,"Norte",1101302,"MIRANTE DA SERRA",24566.5,"RO","Administração, defesa, educação e saúde públicas e seguridade social",16869.515,10690.9979443551,0.1093,0.398629499568594,1,0,0,0,0,0,0,0,0,0,649,0.0607052777839766,2383854,0.868148731525807,0.270302311796088
39,"Norte",1101401,"MONTE NEGRO",24129.89,"RO","Pecuária, inclusive apoio à pecuária",20921.432,16158.0015905584,0.1085,0.782557501759324,0,0,0,0,0,0,0,0,1,0,659,0.0407847465731822,5286552,0.857822103992111,0.365328679464805
40,"Norte",1101435,"NOVA UNIÃO",23060.8,"RO","Pecuária, inclusive apoio à pecuária",5822.622,6822.00144834524,0.103,0.37772129394166,0,0,0,0,0,0,0,0,1,0,405,0.0593667420135534,4435661,0.886002077143397,0.322713257965057
41,"Norte",1101450,"PARECIS",24597.92,"RO","Pecuária, inclusive apoio à pecuária",5087.879,6319.00002114,0.1047,0.182415165456013,0,0,0,0,0,0,0,0,1,0,290,0.0458933373998757,1794000,0.94033225803728,0.370090634441088
42,"Norte",1101468,"PIMENTEIRAS DO OESTE",115753.94,"RO","Agricultura, inclusive apoio à agricultura e a pós colheita",8203.295,2126.99991896604,0.0684999999999999,0.507761937984496,0,1,0,0,0,0,0,0,0,0,174,0.081805362778097,1555300,0.935056691856866,1.07142857142857
43,"Norte",1101476,"PRIMAVERA DE RONDÔNIA",39684.71,"RO","Pecuária, inclusive apoio à pecuária",3634.142,2697.00007887169,0.1254,0.497767847533632,0,0,0,0,0,0,0,0,1,0,186,0.068965515224536,749218,0.933907684384187,0.546201232032854
45,"Norte",1101492,"SÃO FRANCISCO DO GUAPORÉ",23143.16,"RO","Pecuária, inclusive apoio à pecuária",29161.354,21087.9969718915,0.0814,0.724949717533586,0,0,0,0,0,0,0,0,1,0,1009,0.0478471237142585,3477023.41,0.875909236015112,0.276430205949657
46,"Norte",1101500,"SERINGUEIRAS",28109.66,"RO","Pecuária, inclusive apoio à pecuária",23425.413,11845.9983507449,0.0727,0.572681156004489,0,0,0,0,0,0,0,0,1,0,818,0.0690528544559997,5192548.22,0.868769104855701,0.406310367031552
47,"Norte",1101559,"TEIXEIRÓPOLIS",29158.81,"RO","Pecuária, inclusive apoio à pecuária",5024.11,4159.99963647351,0.1004,0.358183076923077,0,0,0,0,0,0,0,0,1,0,256,0.0615384669160729,966985,0.915219343559423,0.465201465201465
48,"Norte",1101609,"THEOBROMA",24876.86,"RO","Pecuária, inclusive apoio à pecuária",8535.114,10348.0018780505,0.1162,0.652492269503546,0,0,0,0,0,0,0,0,1,0,525,0.0507344322302061,3869444.7,0.903339942411996,0.615044247787611
49,"Norte",1101708,"URUPÁ",24682,"RO","Pecuária, inclusive apoio à pecuária",13576.547,11081.0012964914,0.0976,0.298561800965466,0,0,0,0,0,0,0,0,1,0,790,0.0712931962430274,4720120,0.907426989241419,0.2260348583878
50,"Norte",1101757,"VALE DO ANARI",19106.79,"RO","Administração, defesa, educação e saúde públicas e seguridade social",8710.287,11545.0008086131,0.1165,0.641450117560617,1,0,0,0,0,0,0,0,0,0,640,0.0554352494737404,3333832,0.874910955999561,0.45823927765237
51,"Norte",1101807,"VALE DO PARAÍSO",28605.27,"RO","Pecuária, inclusive apoio à pecuária",6736.621,6489.99963992649,0.105,0.528745632183908,0,0,0,0,0,0,0,0,1,0,555,0.0855161834810651,1723933,0.870749032241341,0.643203883495146
52,"Norte",1200013,"ACRELÂNDIA",25362.56,"AC","Administração, defesa, educação e saúde públicas e seguridade social",21128.059,15721.0030848621,0.1165,0.517839457364341,1,0,0,0,0,0,0,0,0,0,1730,0.110043868744345,6662283.48,0.93100410056498,0.333627537511033
53,"Norte",1200054,"ASSIS BRASIL",17507.67,"AC","Administração, defesa, educação e saúde públicas e seguridade social",2574.671,7649.00040953479,0.147,0.630091300813008,1,0,0,0,0,0,0,0,0,0,1364,0.178323954369216,6680837.09,0.957497874501146,0.639291465378422
54,"Norte",1200104,"BRASILÉIA",25278.78,"AC","Administração, defesa, educação e saúde públicas e seguridade social",80025.399,27122.9950575146,0.1099,0.555707823303457,1,0,0,0,0,0,0,0,0,0,3208,0.118276023470026,8640852.82,0.923553542809039,0.286129688863042
55,"Norte",1200138,"BUJARI",28455.38,"AC","Pecuária, inclusive apoio à pecuária",4780.076,10571.9995656357,0.1874,0.529215094422486,0,0,0,0,0,0,0,0,1,0,1323,0.12514188936409,3934201.68,0.946023451761128,0.18900675024108
56,"Norte",1200179,"CAPIXABA",41722.55,"AC","Agricultura, inclusive apoio à agricultura e a pós colheita",9386.843,12279.9995206429,0.1573,0.566574818856394,0,1,0,0,0,0,0,0,0,0,1325,0.107899027013205,6712220.05,0.948837560872881,0.535849056603774
57,"Norte",1200203,"CRUZEIRO DO SUL",22934.82,"AC","Administração, defesa, educação e saúde públicas e seguridade social",194005.732,89760.009845292,0.1376,0.867234380041829,1,0,0,0,0,0,0,0,0,0,10115,0.112689381579101,19093609.27,0.869659357309423,0.255491253452584
58,"Norte",1200252,"EPITACIOLÂNDIA",33960.77,"AC","Administração, defesa, educação e saúde públicas e seguridade social",70965.636,18979.0014184013,0.1122,0.566303003478933,1,0,0,0,0,0,0,0,0,0,1911,0.100690229052155,4146435.86,0.91101534211998,0.275300504071345
59,"Norte",1200302,"FEIJÓ",16207.64,"AC","Administração, defesa, educação e saúde públicas e seguridade social",17689.272,34985.9996890355,0.2265,0.511938715148031,1,0,0,0,0,0,0,0,0,0,4731,0.135225519980859,3878293.75,0.935937932414904,0.388019060585432
60,"Norte",1200328,"JORDÃO",13209.92,"AC","Administração, defesa, educação e saúde públicas e seguridade social",1823.793,8628.0013807805,0.1812,0.441945483870968,1,0,0,0,0,0,0,0,0,0,1369,0.158669422915201,6327771.42,0.944784624281236,0.59121171770972
61,"Norte",1200336,"MÂNCIO LIMA",13704.87,"AC","Administração, defesa, educação e saúde públicas e seguridade social",5857.226,19643.0055885244,0.1573,0.841994907386234,1,0,0,0,0,0,0,0,0,0,3206,0.16321331201336,9456402.65,0.954446942324004,0.623529411764706
62,"Norte",1200344,"MANOEL URBANO",19060.27,"AC","Administração, defesa, educação e saúde públicas e seguridade social",9124.712,9701.00134992841,0.2216,0.440599353612167,1,0,0,0,0,0,0,0,0,0,1662,0.171322520227488,6354560.71,0.91747224786669,0.442477876106195
63,"Norte",1200351,"MARECHAL THAUMATURGO",13020.98,"AC","Administração, defesa, educação e saúde públicas e seguridade social",3440.635,19726.9976606984,0.2283,0.874934653405666,1,0,0,0,0,0,0,0,0,0,2768,0.140315320537328,5436610.76,0.974590472190501,0.909007352941176
64,"Norte",1200385,"PLÁCIDO DE CASTRO",29854.1,"AC","Agricultura, inclusive apoio à agricultura e a pós colheita",26769.274,20146.9985027182,0.1562,0.732702307692308,0,1,0,0,0,0,0,0,0,0,1610,0.0799126480196432,7242259.08,0.936730271763439,0.240046385775029
65,"Norte",1200393,"PORTO WALTER",12845.86,"AC","Administração, defesa, educação e saúde públicas e seguridade social",2822.901,12497.00284761,0.189,0.992409049881235,1,0,0,0,0,0,0,0,0,0,1460,0.116828012108456,5447814.17,0.956847386709826,0.738562091503268
66,"Norte",1200401,"RIO BRANCO",26119.02,"AC","Demais serviços",1507113.683,419451.98774686,0.0695999999999999,0.709668233060347,0,0,0,0,1,0,0,0,0,0,25409,0.060576658931783,40113712.55,0.784021093142052,0.0497661259596131
67,"Norte",1200427,"RODRIGUES ALVES",12933.1,"AC","Administração, defesa, educação e saúde públicas e seguridade social",3069.86,19766.9975489249,0.2004,0.509117063527321,1,0,0,0,0,0,0,0,0,0,2496,0.126271073481049,5943460.58,0.967976294680836,0.677091477716966
68,"Norte",1200435,"SANTA ROSA DO PURUS",15747.15,"AC","Administração, defesa, educação e saúde públicas e seguridade social",1532.426,6893.0002571894,0.226,0.255461713395639,1,0,0,0,0,0,0,0,0,0,1187,0.172203678472514,1153566,0.952492913532739,0.70326409495549
69,"Norte",1200450,"SENADOR GUIOMARD",33253.93,"AC","Agricultura, inclusive apoio à agricultura e a pós colheita",31621.191,23446.0013899109,0.1296,0.304941942725826,0,1,0,0,0,0,0,0,0,0,3810,0.162501056646678,3536236.1,0.921663619251712,0.270987239758227
70,"Norte",1200500,"SENA MADUREIRA",15860.21,"AC","Administração, defesa, educação e saúde públicas e seguridade social",25950.373,47167.9862372566,0.1759,0.4057682668187,1,0,0,0,0,0,0,0,0,0,6669,0.141388270562468,11722585.84,0.909613439097413,0.34007858546169
71,"Norte",1200609,"TARAUACÁ",16279.09,"AC","Administração, defesa, educação e saúde públicas e seguridade social",30960.265,43729.9882241575,0.2149,0.532369081419624,1,0,0,0,0,0,0,0,0,0,7129,0.163023140172303,15317832.71,0.945789147809425,0.448038540949759
72,"Norte",1200708,"XAPURI",22902.48,"AC","Administração, defesa, educação e saúde públicas e seguridade social",20772.718,19865.9981801098,0.1461,0.400728484650555,1,0,0,0,0,0,0,0,0,0,2054,0.10339274077134,3838619.05,0.946014934733165,0.375993640699523
73,"Norte",1200807,"PORTO ACRE",24623.3,"AC","Agricultura, inclusive apoio à agricultura e a pós colheita",7298.664,19141.0021808612,0.1602,0.5474171801166,0,1,0,0,0,0,0,0,0,0,2582,0.134893668346253,3947312,0.945170086893674,0.563984674329502
74,"Norte",1300029,"ALVARÃES",13255.22,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4045.227,16395.9941064728,0.1237,0.94067237350506,1,0,0,0,0,0,0,0,0,0,2362,0.144059578495917,7009493.41,0.969318714214321,0.795172863666014
75,"Norte",1300060,"AMATURÁ",9960.76,"AM","Administração, defesa, educação e saúde públicas e seguridade social",2836.861,11934.0031282754,0.1487,0.938772423853799,1,0,0,0,0,0,0,0,0,0,1662,0.139265926289411,1400000,0.977453326698233,0.643821391484943
76,"Norte",1300086,"ANAMÃ",9697.69,"AM","Administração, defesa, educação e saúde públicas e seguridade social",2910.785,14292.0011879118,0.1224,0.636337023761579,1,0,0,0,0,0,0,0,0,0,1911,0.133711155972778,4983299.57,0.981439531071435,0.959578207381371
77,"Norte",1300102,"ANORI",11324.94,"AM","Administração, defesa, educação e saúde públicas e seguridade social",6133.902,21937.0036397544,0.1318,0.899024380352238,1,0,0,0,0,0,0,0,0,0,2809,0.128048481284359,12749576.24,NA,0.673400673400673
78,"Norte",1300144,"APUÍ",13096.89,"AM","Administração, defesa, educação e saúde públicas e seguridade social",15044.817,22738.9926921582,0.0819,0.35679391959799,1,0,0,0,0,0,0,0,0,0,1816,0.0798628164661958,9669491.06,0.935935667287753,0.446905537459283
79,"Norte",1300201,"ATALAIA DO NORTE",8862.72,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4353.744,20868.0033894786,0.2282,0.443929423029097,1,0,0,0,0,0,0,0,0,0,2167,0.103843188040336,4207500,0.958705017080581,0.920433996383363
80,"Norte",1300300,"AUTAZES",12348.26,"AM","Administração, defesa, educação e saúde públicas e seguridade social",21871.342,41005.0151195391,0.1013,0.72339835253815,1,0,0,0,0,0,0,0,0,0,7629,0.186050413047275,23199368.08,0.980999313083456,0.624674196350999
81,"Norte",1300409,"BARCELOS",8844.22,"AM","Administração, defesa, educação e saúde públicas e seguridade social",6481.75,27771.9876936576,0.2129,0.60209432022738,1,0,0,0,0,0,0,0,0,0,2922,0.105213931110423,7890404.62,0.941611596772468,1.07446808510638
82,"Norte",1300508,"BARREIRINHA",10476.91,"AM","Administração, defesa, educação e saúde públicas e seguridade social",10505.246,32919.010185255,0.0604000000000001,0.386356516007533,1,0,0,0,0,0,0,0,0,0,5330,0.161912523189637,9995529.16,0.955025769817989,0.917955326460481
83,"Norte",1300607,"BENJAMIN CONSTANT",8664.03,"AM","Administração, defesa, educação e saúde públicas e seguridade social",12082.43,44872.9862431224,0.127,0.618095398189631,1,0,0,0,0,0,0,0,0,0,5570,0.124128132899862,10888881.85,0.919493201828475,0.747322623828648
84,"Norte",1300631,"BERURI",10333.67,"AM","Administração, defesa, educação e saúde públicas e seguridade social",7212.053,20502.9975797563,0.1701,0.721583365552423,1,0,0,0,0,0,0,0,0,0,4676,0.228064212650392,3015444,0.932367674330202,0.801457194899818
85,"Norte",1300680,"BOA VISTA DO RAMOS",9102.4,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4124.209,20040.0005493057,0.0437,0.956294153005464,1,0,0,0,0,0,0,0,0,0,2328,0.116167661486449,10108052.84,0.972586839265961,0.749875187219171
86,"Norte",1300706,"BOCA DO ACRE",14668.9,"AM","Administração, defesa, educação e saúde públicas e seguridade social",32976.016,34958.011711853,0.1984,0.354777848227659,1,0,0,0,0,0,0,0,0,0,4801,0.13733618603864,7834210,0.962160258240828,0.561736770691995
87,"Norte",1300805,"BORBA",9500.35,"AM","Administração, defesa, educação e saúde públicas e seguridade social",14952.267,42327.9853900119,0.1112,0.547727842323651,1,0,0,0,0,0,0,0,0,0,5349,0.126370294988388,8047541.23,0.957146636579846,0.763358778625954
88,"Norte",1300839,"CAAPIRANGA",13194.94,"AM","Administração, defesa, educação e saúde públicas e seguridade social",3788.302,13481.9974171917,0.0829000000000001,0.298334626193479,1,0,0,0,0,0,0,0,0,0,1904,0.141225364542207,7367403.89,0.954832387483312,1.17781274586939
89,"Norte",1300904,"CANUTAMA",9656.23,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4332.758,15980.9933069117,0.1889,0.741625853658537,1,0,0,0,0,0,0,0,0,0,2509,0.156999001990375,3584278,0.938543287762878,1.04639684106614
90,"Norte",1301001,"CARAUARI",12906.32,"AM","Administração, defesa, educação e saúde públicas e seguridade social",16828.12,28719.0027831326,0.1801,0.426290347332979,1,0,0,0,0,0,0,0,0,0,5766,0.200772987959962,3294490.56,0.928061587309083,0.686952288218111
91,"Norte",1301100,"CAREIRO",10180.17,"AM","Administração, defesa, educação e saúde públicas e seguridade social",15652.335,38819.9895483081,0.1294,0.696445452793834,1,0,0,0,0,0,0,0,0,0,5276,0.135909361681679,19963174.74,0.95600178940794,1.03707995365006
92,"Norte",1301159,"CAREIRO DA VÁRZEA",13140.09,"AM","Administração, defesa, educação e saúde públicas e seguridade social",5538.166,31459.004085969,0.1291,0.737405766516998,1,0,0,0,0,0,0,0,0,0,3836,0.121936472925756,4982300,0.975176946564264,0.779803646563815
93,"Norte",1301209,"COARI",38982.37,"AM","Indústrias extrativas",113867.389,86712.9941817288,0.1366,0.863419902561615,0,0,0,0,0,0,0,1,0,0,9780,0.112785864359655,16824472.32,0.894463407684951,0.668527131782946
94,"Norte",1301308,"CODAJÁS",17917.73,"AM","Produção florestal, pesca e aquicultura",9056.327,29691.008124355,0.1382,0.376803512164691,0,0,0,0,0,0,0,0,0,1,3217,0.108349301799596,3599103,0.971335232628309,0.710769230769231
95,"Norte",1301407,"EIRUNEPÉ",15726.02,"AM","Administração, defesa, educação e saúde públicas e seguridade social",15566.428,36120.9943138823,0.2528,0.655118028807682,1,0,0,0,0,0,0,0,0,0,5193,0.143766806496913,14242001.17,0.964307655600001,1.09404990403071
96,"Norte",1301506,"ENVIRA",10387.83,"AM","Administração, defesa, educação e saúde públicas e seguridade social",7013.349,20748.0009780676,0.2631,0.760727287755674,1,0,0,0,0,0,0,0,0,0,2835,0.136639669672121,3006414,0.951221456230846,1.21726365237816
97,"Norte",1301605,"FONTE BOA",13576.3,"AM","Administração, defesa, educação e saúde públicas e seguridade social",8400.802,16408.9940558179,0.1393,0.547730364741641,1,0,0,0,0,0,0,0,0,0,3454,0.210494317217171,8564269,0.9702488812028,0.957878315132605
98,"Norte",1301654,"GUAJARÁ",10313.51,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4167.554,17192.9992795857,0.2236,0.542909046687851,1,0,0,0,0,0,0,0,0,0,2513,0.14616414269172,3327594,0.983412864837536,1.36170212765957
99,"Norte",1301704,"HUMAITÁ",15039.21,"AM","Administração, defesa, educação e saúde públicas e seguridade social",60860.303,57194.9954818105,0.1126,0.568447457650088,1,0,0,0,0,0,0,0,0,0,6800,0.118891520887742,16879270.09,0.895910072389641,0.372187742435997
100,"Norte",1301803,"IPIXUNA",6945.94,"AM","Administração, defesa, educação e saúde públicas e seguridade social",6083.888,31171.9824818527,0.2416,0.829668792650919,1,0,0,0,0,0,0,0,0,0,3702,0.118760492764783,11052385,0.982824699336666,9.25730994152047
101,"Norte",1301852,"IRANDUBA",20150.9,"AM","Administração, defesa, educação e saúde públicas e seguridade social",58302.905,49717.9916033527,0.0886,0.771315514368425,1,0,0,0,0,0,0,0,0,0,10862,0.218472220009537,7864588.98,0.883579176894568,0.398756146948221
102,"Norte",1301902,"ITACOATIARA",22590.61,"AM","Demais serviços",199989.671,104046.018367809,0.0606999999999999,0.772914028620314,0,0,0,0,1,0,0,0,0,0,10622,0.102089442408556,22623108.6,0.857668547923585,0.377286135693215
103,"Norte",1301951,"ITAMARATI",17438.6,"AM","Administração, defesa, educação e saúde públicas e seguridade social",3862.483,7776.99821086555,0.2644,0.724811061007958,1,0,0,0,0,0,0,0,0,0,1589,0.204320479048066,4900050,0.976155139914512,0.981605351170569
104,"Norte",1302009,"ITAPIRANGA",16377.7,"AM","Administração, defesa, educação e saúde públicas e seguridade social",7191.696,9312.00223474603,0.0592,0.540019358914366,1,0,0,0,0,0,0,0,0,0,1578,0.169458722218943,5691937.15,0.855802531392376,0.827014218009479
105,"Norte",1302108,"JAPURÁ",48893.98,"AM","Administração, defesa, educação e saúde públicas e seguridade social",3937.495,1754.99992023558,0.1239,0.900568659217877,1,0,0,0,0,0,0,0,0,0,978,0.557264982592546,7783523.91,0.973932399634584,0.831570996978852
106,"Norte",1302207,"JURUÁ",8910.85,"AM","Administração, defesa, educação e saúde públicas e seguridade social",4095.883,15494.9925091321,0.2064,0.522422656558998,1,0,0,0,0,0,0,0,0,0,1555,0.100355001726109,8321878.58,0.982999792051823,1.32601880877743
107,"Norte",1302306,"JUTAÍ",19787.31,"AM","Administração, defesa, educação e saúde públicas e seguridade social",7910.192,13461.9969566353,0.159,0.547099167280766,1,0,0,0,0,0,0,0,0,0,3331,0.247437286661855,9713296.22,0.97105513276139,3.28790983606557
108,"Norte",1302405,"LÁBREA",13111.01,"AM","Administração, defesa, educação e saúde públicas e seguridade social",24173.615,47685.0028334964,0.196,0.353845521769178,1,0,0,0,0,0,0,0,0,0,8146,0.170829391128353,16439016.11,0.942580080221779,0.542168674698795
