Sigla,Código,Município,Programa Bolsa Família (PBF) - número de benefícios em dezembro (2021),Programa Bolsa Família (PBF) - valor total dos benefícios em dezembro (2021),
AC,1200013,Acrelândia,1730,375.211,
AC,1200054,Assis Brasil,1364,491.023,
AC,1200104,Brasiléia,3208,773.171,
AC,1200138,Bujari,1323,323.414,
AC,1200179,Capixaba,1325,326.419,
AC,1200203,Cruzeiro do Sul,10115,3736.845,
AC,1200252,Epitaciolândia,1911,459.773,
AC,1200302,Feijó,4731,1635.773,
AC,1200328,Jordão,1369,600.427,
AC,1200336,Mâncio Lima,3206,1208.159,
AC,1200344,Manoel Urbano,1662,653.342,
AC,1200351,Marechal Thaumaturgo,2768,1009.072,
AC,1200385,Plácido de Castro,1610,370.369,
AC,1200393,Porto Walter,1460,570.149,
AC,1200401,Rio Branco,25409,6823.174,
AC,1200427,Rodrigues Alves,2496,846.798,
AC,1200435,Santa Rosa do Purus,1187,509.783,
AC,1200450,Senador Guiomard,3810,1021.812,
AC,1200500,Sena Madureira,6669,2306.443,
AC,1200609,Tarauacá,7129,2910.148,
AC,1200708,Xapuri,2054,500.285,
AC,1200807,Porto Acre,2582,690.123,
AL,2700102,Água Branca,2986,1006.19,
AL,2700201,Anadia,2725,582.175,
AL,2700300,Arapiraca,20805,4628.948,
AL,2700409,Atalaia,7362,1620.562,
AL,2700508,Barra de Santo Antônio,3670,770.938,
AL,2700607,Barra de São Miguel,1186,293.158,
AL,2700706,Batalha,3077,800.175,
AL,2700805,Belém,846,202.665,
AL,2700904,Belo Monte,1325,371.638,
AL,2701001,Boca da Mata,3853,930.727,
AL,2701100,Branquinha,1808,355.374,
AL,2701209,Cacimbinhas,1901,470.836,
AL,2701308,Cajueiro,3461,721.283,
AL,2701357,Campestre,1338,318.537,
AL,2701407,Campo Alegre,6012,1083.848,
AL,2701506,Campo Grande,2195,702.509,
AL,2701605,Canapi,4125,1223.551,
AL,2701704,Capela,2207,521.709,
AL,2701803,Carneiros,1672,555.002,
AL,2701902,Chã Preta,1225,391.468,
AL,2702009,Coité do Nóia,1661,412.982,
AL,2702108,Colônia Leopoldina,3883,959.144,
AL,2702207,Coqueiro Seco,793,167.03,
AL,2702306,Coruripe,5719,1182.139,
AL,2702355,Craíbas,3929,1165.618,
AL,2702405,Delmiro Gouveia,6431,1517.184,
AL,2702504,Dois Riachos,1921,359.13,
AL,2702553,Estrela de Alagoas,2712,722.598,
AL,2702603,Feira Grande,4247,1011.873,
AL,2702702,Feliz Deserto,704,132.871,
AL,2702801,Flexeiras,2083,478.335,
AL,2702900,Girau do Ponciano,5846,1855.006,
AL,2703007,Ibateguara,2575,629.475,
AL,2703106,Igaci,4827,1374.203,
AL,2703205,Igreja Nova,3612,723.441,
AL,2703304,Inhapi,2934,783.372,
AL,2703403,Jacaré dos Homens,1095,217.491,
AL,2703502,Jacuípe,1084,202.111,
AL,2703601,Japaratinga,1805,427.231,
AL,2703700,Jaramataia,991,278.36,
AL,2703759,Jequiá da Praia,2205,562.809,
AL,2703809,Joaquim Gomes,3567,732.607,
AL,2703908,Jundiá,735,220.12,
AL,2704005,Junqueiro,3824,775.719,
AL,2704104,Lagoa da Canoa,3185,864.823,
AL,2704203,Limoeiro de Anadia,4328,1177.482,
AL,2704302,Maceió,63097,12182.32,
AL,2704401,Major Isidoro,3299,825.027,
AL,2704500,Maragogi,4896,1043.088,
AL,2704609,Maravilha,2537,541.365,
AL,2704708,Marechal Deodoro,6895,1694.589,
AL,2704807,Maribondo,1947,423.555,
AL,2704906,Mar Vermelho,651,158.408,
AL,2705002,Mata Grande,3684,849.571,
AL,2705101,Matriz de Camaragibe,3545,743.527,
AL,2705200,Messias,1850,402.527,
AL,2705309,Minador do Negrão,779,224.129,
AL,2705408,Monteirópolis,1472,380.423,
AL,2705507,Murici,4028,955.651,
AL,2705606,Novo Lino,2014,434.279,
AL,2705705,Olho d'Água das Flores,2828,527.533,
AL,2705804,Olho d'Água do Casado,1657,447.378,
AL,2705903,Olho d'Água Grande,1291,417.83,
AL,2706000,Olivença,2104,657.062,
AL,2706109,Ouro Branco,2452,632.46,
AL,2706208,Palestina,921,200.412,
AL,2706307,Palmeira dos Índios,10763,2272.479,
AL,2706406,Pão de Açúcar,3825,758.424,
AL,2706422,Pariconha,1762,518.248,
AL,2706448,Paripueira,2096,429.559,
AL,2706505,Passo de Camaragibe,2275,506.731,
AL,2706604,Paulo Jacinto,1228,289.824,
AL,2706703,Penedo,9572,2115.329,
AL,2706802,Piaçabuçu,3938,945.444,
AL,2706901,Pilar,5568,1228.182,
AL,2707008,Pindoba,337,84.782,
AL,2707107,Piranhas,3822,1028.321,
AL,2707206,Poço das Trincheiras,2673,772.902,
AL,2707305,Porto Calvo,5114,1001.97,
AL,2707404,Porto de Pedras,1666,344.398,
AL,2707503,Porto Real do Colégio,4101,1088.785,
AL,2707602,Quebrangulo,2134,647.074,
AL,2707701,Rio Largo,9611,1955.034,
AL,2707800,Roteiro,1220,318.279,
AL,2707909,Santa Luzia do Norte,955,208.711,
AL,2708006,Santana do Ipanema,7839,2027.187,
AL,2708105,Santana do Mundaú,1783,366.3,
AL,2708204,São Brás,1080,267.53,
AL,2708303,São José da Laje,3255,704.049,
AL,2708402,São José da Tapera,5882,1704.398,
AL,2708501,São Luís do Quitunde,5978,1147.701,
AL,2708600,São Miguel dos Campos,7319,1416.837,
AL,2708709,São Miguel dos Milagres,1233,254.394,
AL,2708808,São Sebastião,5751,1517.963,
AL,2708907,Satuba,1769,409.652,
AL,2708956,Senador Rui Palmeira,2387,686.902,
AL,2709004,Tanque d'Arca,990,230.334,
AL,2709103,Taquarana,2728,626.175,
AL,2709152,Teotônio Vilela,5536,1243.884,
AL,2709202,Traipu,4137,1234.854,
AL,2709301,União dos Palmares,9312,1722.589,
AL,2709400,Viçosa,4297,961.038,
AM,1300029,Alvarães,2362,717.396,
AM,1300060,Amaturá,1662,409.78,
AM,1300086,Anamã,1911,677.442,
AM,1300102,Anori,2809,815.46,
AM,1300144,Apuí,1816,436.433,
AM,1300201,Atalaia do Norte,2167,889.302,
AM,1300300,Autazes,7629,2451.79,
AM,1300409,Barcelos,2922,660.962,
AM,1300508,Barreirinha,5330,1875.244,
AM,1300607,Benjamin Constant,5570,1970.013,
AM,1300631,Beruri,4676,1584.643,
AM,1300680,Boa Vista do Ramos,2328,809.565,
AM,1300706,Boca do Acre,4801,1246.13,
AM,1300805,Borba,5349,1826.764,
AM,1300839,Caapiranga,1904,491.188,
AM,1300904,Canutama,2509,883.112,
AM,1301001,Carauari,5766,2016.021,
AM,1301100,Careiro,5276,1226.445,
AM,1301159,Careiro da Várzea,3836,1199.45,
AM,1301209,Coari,9780,2722.171,
AM,1301308,Codajás,3217,877.148,
AM,1301407,Eirunepé,5193,1847.754,
AM,1301506,Envira,2835,1154.085,
AM,1301605,Fonte Boa,3454,1041.035,
AM,1301654,Guajará,2513,1027.24,
AM,1301704,Humaitá,6800,1966.839,
AM,1301803,Ipixuna,3702,1216.698,
AM,1301852,Iranduba,10862,2385.889,
AM,1301902,Itacoatiara,10622,3058.087,
AM,1301951,Itamarati,1589,581.139,
AM,1302009,Itapiranga,1578,432.156,
AM,1302108,Japurá,978,359.554,
AM,1302207,Juruá,1555,548.597,
AM,1302306,Jutaí,3331,1260.512,
AM,1302405,Lábrea,8146,2890.914,
AM,1302504,Manacapuru,16928,4724.562,
AM,1302553,Manaquiri,3048,832.71,
AM,1302603,Manaus,127095,25191.827,
AM,1302702,Manicoré,5953,1451.388,
AM,1302801,Maraã,2805,1208.834,
AM,1302900,Maués,9036,3036.602,
AM,1303007,Nhamundá,3449,1173.479,
AM,1303106,Nova Olinda do Norte,4276,1354.291,
AM,1303205,Novo Airão,2198,578.861,
AM,1303304,Novo Aripuanã,3062,977.253,
AM,1303403,Parintins,15247,4121.631,
AM,1303502,Pauini,3001,1117.111,
AM,1303536,Presidente Figueiredo,3512,877.997,
AM,1303569,Rio Preto da Eva,3073,685.925,
AM,1303601,Santa Isabel do Rio Negro,2385,755.608,
AM,1303700,Santo Antônio do Içá,4044,1386.383,
AM,1303809,São Gabriel da Cachoeira,6061,2259.553,
AM,1303908,São Paulo de Olivença,4699,1554.836,
AM,1303957,São Sebastião do Uatumã,1506,420.918,
AM,1304005,Silves,1918,604.133,
AM,1304062,Tabatinga,6857,1581.417,
AM,1304104,Tapauá,2617,576.481,
AM,1304203,Tefé,8175,2697.246,
AM,1304237,Tonantins,3212,958.904,
AM,1304260,Uarini,2260,879.202,
AM,1304302,Urucará,2772,806.86,
AM,1304401,Urucurituba,3421,1213.892,
AP,1600055,Serra do Navio,759,221.862,
AP,1600105,Amapá,2034,568.724,
AP,1600154,Pedra Branca do Amaparí,1850,584.504,
AP,1600204,Calçoene,1317,341.395,
AP,1600212,Cutias,766,308.138,
AP,1600238,Ferreira Gomes,726,197.693,
AP,1600253,Itaubal,1526,472.461,
AP,1600279,Laranjal do Jari,5768,1460.6,
AP,1600303,Macapá,32799,8037.849,
AP,1600402,Mazagão,4089,1511.521,
AP,1600501,Oiapoque,2060,454.082,
AP,1600535,Porto Grande,2436,750.672,
AP,1600550,Pracuúba,647,196.278,
AP,1600600,Santana,13431,3581.306,
AP,1600709,Tartarugalzinho,1893,663.297,
AP,1600808,Vitória do Jari,2257,845.554,
BA,2900108,Abaíra,1480,329.519,
BA,2900207,Abaré,3818,931.406,
BA,2900306,Acajutiba,2754,538.261,
BA,2900355,Adustina,3086,606.113,
BA,2900405,Água Fria,2778,738.186,
BA,2900504,Érico Cardoso,1221,327.466,
BA,2900603,Aiquara,659,121.966,
BA,2900702,Alagoinhas,19599,4074.137,
BA,2900801,Alcobaça,2986,605.063,
BA,2900900,Almadina,1171,271.295,
BA,2901007,Amargosa,4815,961.267,
BA,2901106,Amélia Rodrigues,3235,583.617,
BA,2901155,América Dourada,2675,594.821,
BA,2901205,Anagé,4390,995.823,
BA,2901304,Andaraí,2747,701.571,
BA,2901353,Andorinha,2585,532.765,
BA,2901403,Angical,2569,736.049,
BA,2901502,Anguera,1561,357.169,
BA,2901601,Antas,2499,444.839,
BA,2901700,Antônio Cardoso,2346,592.814,
BA,2901809,Antônio Gonçalves,1852,509.245,
BA,2901908,Aporá,3162,800.111,
BA,2901957,Apuarema,1332,379.747,
BA,2902005,Aracatu,2295,542.395,
BA,2902054,Araças,2145,469.296,
BA,2902104,Araci,9014,1859.858,
BA,2902203,Aramari,1841,422.376,
BA,2902252,Arataca,1823,443.877,
BA,2902302,Aratuípe,1828,469.033,
BA,2902401,Aurelino Leal,2325,650.697,
BA,2902500,Baianópolis,2543,821.358,
BA,2902609,Baixa Grande,3428,797.48,
BA,2902658,Banzaê,2095,523.56,
BA,2902708,Barra,8263,2131.483,
BA,2902807,Barra da Estiva,3707,736.834,
BA,2902906,Barra do Choça,5524,1353.615,
BA,2903003,Barra do Mendes,2252,485.387,
BA,2903102,Barra do Rocha,928,241.668,
BA,2903201,Barreiras,11696,2222.242,
BA,2903235,Barro Alto,2530,530.384,
BA,2903276,Barrocas,2277,542.524,
BA,2903300,Governador Lomanto Júnior,1292,311.225,
BA,2903409,Belmonte,3127,615.411,
BA,2903508,Belo Campo,2512,544.393,
BA,2903607,Biritinga,3516,901.999,
BA,2903706,Boa Nova,2654,656.398,
BA,2903805,Boa Vista do Tupim,3649,1102.86,
BA,2903904,Bom Jesus da Lapa,8496,2032.334,
BA,2903953,Bom Jesus da Serra,1671,463.015,
BA,2904001,Boninal,2167,496.166,
BA,2904050,Bonito,2829,607.771,
BA,2904100,Boquira,3207,941.064,
BA,2904209,Botuporã,1839,458.875,
BA,2904308,Brejões,1948,457.743,
BA,2904407,Brejolândia,1444,301.53,
BA,2904506,Brotas de Macaúbas,1957,488.042,
BA,2904605,Brumado,5829,977.565,
BA,2904704,Buerarema,2142,404.221,
BA,2904753,Buritirama,3988,1269.881,
BA,2904803,Caatiba,1023,215.293,
BA,2904852,Cabaceiras do Paraguaçu,3094,914.814,
BA,2904902,Cachoeira,5616,1230.415,
BA,2905008,Caculé,1819,310.657,
BA,2905107,Caém,2189,583.466,
BA,2905156,Caetanos,2585,751.634,
BA,2905206,Caetité,5547,1022.186,
BA,2905305,Cafarnaum,3254,930.521,
BA,2905404,Cairu,2488,625.845,
BA,2905503,Caldeirão Grande,3144,923.199,
BA,2905602,Camacan,3298,740.513,
BA,2905701,Camaçari,26633,5287.656,
BA,2905800,Camamu,5268,1115.806,
BA,2905909,Campo Alegre de Lourdes,4843,1551.682,
BA,2906006,Campo Formoso,12966,2772.458,
BA,2906105,Canápolis,1457,369.142,
BA,2906204,Canarana,4518,1079.233,
BA,2906303,Canavieiras,5082,1166.704,
BA,2906402,Candeal,1497,366.345,
BA,2906501,Candeias,8556,1712.215,
BA,2906600,Candiba,2014,551.647,
BA,2906709,Cândido Sales,4284,977.613,
BA,2906808,Cansanção,7022,1987.843,
BA,2906824,Canudos,3124,830.726,
BA,2906857,Capela do Alto Alegre,1569,245.977,
BA,2906873,Capim Grosso,3692,757.23,
BA,2906899,Caraíbas,1527,361.017,
BA,2906907,Caravelas,3105,679.732,
BA,2907004,Cardeal da Silva,1781,497.851,
BA,2907103,Carinhanha,5487,1517.192,
BA,2907202,Casa Nova,12179,2822.646,
BA,2907301,Castro Alves,4308,962.854,
BA,2907400,Catolândia,583,157.56,
BA,2907509,Catu,6630,1179.522,
BA,2907558,Caturama,1166,256.387,
BA,2907608,Central,2089,391.465,
BA,2907707,Chorrochó,1894,630.929,
BA,2907806,Cícero Dantas,5330,1027.139,
BA,2907905,Cipó,3092,801.996,
BA,2908002,Coaraci,3564,635.56,
BA,2908101,Cocos,3142,789.783,
BA,2908200,Conceição da Feira,3180,738.297,
BA,2908309,Conceição do Almeida,3073,690.962,
BA,2908408,Conceição do Coité,10065,1902.374,
BA,2908507,Conceição do Jacuípe,4249,842.575,
BA,2908606,Conde,4356,1074.241,
BA,2908705,Condeúba,2413,567.972,
BA,2908804,Contendas do Sincorá,746,132.693,
BA,2908903,Coração de Maria,6424,1346.904,
BA,2909000,Cordeiros,1117,207.23,
BA,2909109,Coribe,2803,724.971,
BA,2909208,Coronel João Sá,3930,1032.556,
BA,2909307,Correntina,4549,1130.486,
BA,2909406,Cotegipe,2423,610.529,
BA,2909505,Cravolândia,818,197.055,
BA,2909604,Crisópolis,3985,784.109,
BA,2909703,Cristópolis,2082,441.104,
BA,2909802,Cruz das Almas,6312,1081.957,
BA,2909901,Curaçá,6198,1587.905,
BA,2910008,Dário Meira,2147,515.727,
BA,2910057,Dias d'Ávila,9448,1868.589,
BA,2910107,Dom Basílio,1608,387.99,
BA,2910206,Dom Macedo Costa,680,159.758,
BA,2910305,Elísio Medrado,1138,215.827,
BA,2910404,Encruzilhada,3515,867.527,
BA,2910503,Entre Rios,4966,935.092,
BA,2910602,Esplanada,4081,1013.742,
BA,2910701,Euclides da Cunha,9912,2642.961,
BA,2910727,Eunápolis,9263,2006.452,
BA,2910750,Fátima,3553,799.95,
BA,2910776,Feira da Mata,923,212.306,
BA,2910800,Feira de Santana,42264,7283.187,
BA,2910859,Filadélfia,3636,903.881,
BA,2910909,Firmino Alves,971,181.672,
BA,2911006,Floresta Azul,1585,344.885,
BA,2911105,Formosa do Rio Preto,3785,823.3,
BA,2911204,Gandu,4603,1079.976,
BA,2911253,Gavião,1090,218.663,
BA,2911303,Gentio do Ouro,1770,485.666,
BA,2911402,Glória,2383,471.387,
BA,2911501,Gongogi,1493,399.893,
BA,2911600,Governador Mangabeira,2930,565.123,
BA,2911659,Guajeru,1129,311.067,
BA,2911709,Guanambi,10153,2298.938,
BA,2911808,Guaratinga,3622,827.884,
BA,2911857,Heliópolis,2060,432.635,
BA,2911907,Iaçu,4737,1249.205,
BA,2912004,Ibiassucê,1238,244.828,
BA,2912103,Ibicaraí,3643,842.524,
BA,2912202,Ibicoara,2807,598.194,
BA,2912301,Ibicuí,2816,646.221,
BA,2912400,Ibipeba,2998,629.533,
BA,2912509,Ibipitanga,1792,357.727,
BA,2912608,Ibiquera,947,240.623,
BA,2912707,Ibirapitanga,3179,579.654,
BA,2912806,Ibirapuã,974,247.267,
BA,2912905,Ibirataia,2982,655.37,
BA,2913002,Ibitiara,2268,582.9,
BA,2913101,Ibititá,3596,778.798,
BA,2913200,Ibotirama,3156,612.692,
BA,2913309,Ichu,1026,266.048,
BA,2913408,Igaporã,2408,484.699,
BA,2913457,Igrapiúna,2134,486.842,
BA,2913507,Iguaí,4292,1212.883,
BA,2913606,Ilhéus,18936,3304.458,
BA,2913705,Inhambupe,5738,1055.241,
BA,2913804,Ipecaetá,2384,666.119,
BA,2913903,Ipiaú,6762,1444.221,
BA,2914000,Ipirá,7695,1441.852,
BA,2914109,Ipupiara,1524,438.693,
BA,2914208,Irajuba,1217,337.742,
BA,2914307,Iramaia,1861,446.416,
BA,2914406,Iraquara,4228,1012.337,
BA,2914505,Irará,6136,1709.065,
BA,2914604,Irecê,9509,2104.61,
BA,2914653,Itabela,4963,1447.578,
BA,2914703,Itaberaba,8840,1650.614,
BA,2914802,Itabuna,17793,3215.077,
BA,2914901,Itacaré,3723,921.895,
BA,2915007,Itaeté,3277,923.797,
BA,2915106,Itagi,2418,683.901,
BA,2915205,Itagibá,2558,479.217,
BA,2915304,Itagimirim,1012,213.592,
BA,2915353,Itaguaçu da Bahia,2326,583.117,
BA,2915403,Itaju do Colônia,1213,286.086,
BA,2915502,Itajuípe,2923,577.92,
BA,2915601,Itamaraju,8065,1619.771,
BA,2915700,Itamari,1397,335.395,
BA,2915809,Itambé,3231,704.078,
BA,2915908,Itanagra,1485,344.327,
BA,2916005,Itanhém,2763,543.026,
BA,2916104,Itaparica,3938,1119.599,
BA,2916203,Itapé,1687,406.547,
BA,2916302,Itapebi,1778,307.989,
BA,2916401,Itapetinga,5872,1178.98,
BA,2916500,Itapicuru,6767,1293.799,
BA,2916609,Itapitanga,1070,197.581,
BA,2916708,Itaquara,1308,245.629,
BA,2916807,Itarantim,2324,445.471,
BA,2916856,Itatim,2768,608.835,
BA,2916906,Itiruçu,2131,369.819,
BA,2917003,Itiúba,6293,1524.421,
BA,2917102,Itororó,2695,569.331,
BA,2917201,Ituaçu,2626,457.446,
BA,2917300,Ituberá,3970,912.828,
BA,2917334,Iuiú,1672,401.366,
BA,2917359,Jaborandi,1721,439.397,
BA,2917409,Jacaraci,1971,396.279,
BA,2917508,Jacobina,10873,1960.275,
BA,2917607,Jaguaquara,4400,748.531,
BA,2917706,Jaguarari,4373,880.669,
BA,2917805,Jaguaripe,3594,970.199,
BA,2917904,Jandaíra,1807,365.604,
BA,2918001,Jequié,12884,2475.689,
BA,2918100,Jeremoabo,6925,1227.886,
BA,2918209,Jiquiriçá,2536,617.164,
BA,2918308,Jitaúna,2521,558.208,
BA,2918357,João Dourado,3691,674.977,
BA,2918407,Juazeiro,26086,6081.565,
BA,2918456,Jucuruçu,1640,387.097,
BA,2918506,Jussara,2602,643.62,
BA,2918555,Jussari,1262,279.542,
BA,2918605,Jussiape,946,145.956,
BA,2918704,Lafaiete Coutinho,600,148.335,
BA,2918753,Lagoa Real,1928,552.884,
BA,2918803,Laje,3607,830.689,
BA,2918902,Lajedão,618,103.268,
BA,2919009,Lajedinho,710,175.5,
BA,2919058,Lajedo do Tabocal,1490,329.006,
BA,2919108,Lamarão,1925,549.853,
BA,2919157,Lapão,4494,754.444,
BA,2919207,Lauro de Freitas,13368,3094.764,
BA,2919306,Lençóis,1523,346.605,
BA,2919405,Licínio de Almeida,1608,292.316,
BA,2919504,Livramento de Nossa Senhora,5399,988.851,
BA,2919553,Luís Eduardo Magalhães,9062,2178.749,
BA,2919603,Macajuba,2071,479.55,
BA,2919702,Macarani,2534,620.219,
BA,2919801,Macaúbas,5471,1037.169,
BA,2919900,Macururé,1583,475.351,
BA,2919926,Madre de Deus,2289,440.862,
BA,2919959,Maetinga,1217,322.739,
BA,2920007,Maiquinique,1482,360.936,
BA,2920106,Mairi,3474,863.41,
BA,2920205,Malhada,2825,732.979,
BA,2920304,Malhada de Pedras,1109,202.892,
BA,2920403,Manoel Vitorino,2595,552.922,
BA,2920452,Mansidão,2220,694.454,
BA,2920502,Maracás,3476,661.72,
BA,2920601,Maragogipe,8512,1624.197,
BA,2920700,Maraú,3801,834.42,
BA,2920809,Marcionílio Souza,2146,570.484,
BA,2920908,Mascote,2342,460.388,
BA,2921005,Mata de São João,5633,1075.852,
BA,2921054,Matina,2128,592.3,
BA,2921104,Medeiros Neto,2751,503.723,
BA,2921203,Miguel Calmon,4282,915.18,
BA,2921302,Milagres,1984,408.883,
BA,2921401,Mirangaba,3565,766.152,
BA,2921450,Mirante,1612,345.076,
BA,2921500,Monte Santo,9782,2618.749,
BA,2921609,Morpará,1697,475.826,
BA,2921708,Morro do Chapéu,5553,1260.554,
BA,2921807,Mortugaba,1377,265.129,
BA,2921906,Mucugê,1578,422.238,
BA,2922003,Mucuri,3579,681.966,
BA,2922052,Mulungu do Morro,2773,677.557,
BA,2922102,Mundo Novo,4413,1099.693,
BA,2922201,Muniz Ferreira,1294,235.886,
BA,2922250,Muquém de São Francisco,2229,679.651,
BA,2922300,Muritiba,5654,1422.162,
BA,2922409,Mutuípe,3040,675.701,
BA,2922508,Nazaré,3695,812.635,
BA,2922607,Nilo Peçanha,2558,558.8,
BA,2922656,Nordestina,2246,633.607,
BA,2922706,Nova Canaã,2805,580.336,
BA,2922730,Nova Fátima,1425,334.168,
BA,2922755,Nova Ibiá,927,212.676,
BA,2922805,Nova Itarana,1611,334.898,
BA,2922854,Nova Redenção,1518,414.043,
BA,2922904,Nova Soure,4566,1261.461,
BA,2923001,Nova Viçosa,5242,1194.969,
BA,2923035,Novo Horizonte,1959,493.66,
BA,2923050,Novo Triunfo,1858,477.88,
BA,2923100,Olindina,4816,1186.262,
BA,2923209,Oliveira dos Brejinhos,3658,875.856,
BA,2923308,Ouriçangas,1574,334.615,
BA,2923357,Ourolândia,3398,730.55,
BA,2923407,Palmas de Monte Alto,3346,796.58,
BA,2923506,Palmeiras,1526,420.794,
BA,2923605,Paramirim,2890,555.978,
BA,2923704,Paratinga,7466,1742.534,
BA,2923803,Paripiranga,4609,1105.253,
BA,2923902,Pau Brasil,2560,463.827,
BA,2924009,Paulo Afonso,12837,3048.308,
BA,2924058,Pé de Serra,2627,668.923,
BA,2924108,Pedrão,1466,388.518,
BA,2924207,Pedro Alexandre,2732,734.15,
BA,2924306,Piatã,2540,685.784,
BA,2924405,Pilão Arcado,6525,2161.753,
BA,2924504,Pindaí,2320,572.062,
BA,2924603,Pindobaçu,3301,715.866,
BA,2924652,Pintadas,1456,424.595,
BA,2924678,Piraí do Norte,1293,256.304,
BA,2924702,Piripá,1715,423.118,
BA,2924801,Piritiba,4033,1076.601,
BA,2924900,Planaltino,1429,353.907,
BA,2925006,Planalto,3596,778.903,
BA,2925105,Poções,7149,1582.66,
BA,2925204,Pojuca,4072,955.429,
BA,2925253,Ponto Novo,3797,1027.589,
BA,2925303,Porto Seguro,12633,2508.988,
BA,2925402,Potiraguá,2520,465.1,
BA,2925501,Prado,3908,943.904,
BA,2925600,Presidente Dutra,2707,618.409,
BA,2925709,Presidente Jânio Quadros,2329,628.885,
BA,2925758,Presidente Tancredo Neves,4907,931.897,
BA,2925808,Queimadas,4796,1255.397,
BA,2925907,Quijingue,5008,1096.059,
BA,2925931,Quixabeira,1902,474.087,
BA,2925956,Rafael Jambeiro,3798,992.056,
BA,2926004,Remanso,6706,1553.605,
BA,2926103,Retirolândia,2464,594.103,
BA,2926202,Riachão das Neves,4343,1343.279,
BA,2926301,Riachão do Jacuípe,4913,814.779,
BA,2926400,Riacho de Santana,4986,1242.825,
BA,2926509,Ribeira do Amparo,3258,794.063,
BA,2926608,Ribeira do Pombal,7428,1439.512,
BA,2926657,Ribeirão do Largo,1494,467.94,
BA,2926707,Rio de Contas,1828,350.889,
BA,2926806,Rio do Antônio,2280,515.078,
BA,2926905,Rio do Pires,1235,222.514,
BA,2927002,Rio Real,5916,1214.092,
BA,2927101,Rodelas,1963,564.295,
BA,2927200,Ruy Barbosa,5422,1278.468,
BA,2927309,Salinas da Margarida,3233,653.62,
BA,2927408,Salvador,181209,33029.685,
BA,2927507,Santa Bárbara,3857,1050.137,
BA,2927606,Santa Brígida,2544,673.635,
BA,2927705,Santa Cruz Cabrália,3397,735.444,
BA,2927804,Santa Cruz da Vitória,1118,202.096,
BA,2927903,Santa Inês,2386,459.774,
BA,2928000,Santaluz,7214,1510.67,
BA,2928059,Santa Luzia,2118,519.45,
BA,2928109,Santa Maria da Vitória,6027,1092.043,
BA,2928208,Santana,3901,722.477,
BA,2928307,Santanópolis,2000,510.379,
BA,2928406,Santa Rita de Cássia,5697,1632.591,
BA,2928505,Santa Teresinha,1503,305.027,
BA,2928604,Santo Amaro,10978,2185.472,
BA,2928703,Santo Antônio de Jesus,10027,1973.511,
BA,2928802,Santo Estêvão,6970,1787.784,
BA,2928901,São Desidério,4551,1281.883,
BA,2928950,São Domingos,1611,300.26,
BA,2929008,São Félix,1863,490.289,
BA,2929057,São Félix do Coribe,2131,537.54,
BA,2929107,São Felipe,3277,661.632,
BA,2929206,São Francisco do Conde,6626,1813.199,
BA,2929255,São Gabriel,3291,646.677,
BA,2929305,São Gonçalo dos Campos,3689,726.64,
BA,2929354,São José da Vitória,1419,434.71,
BA,2929370,São José do Jacuípe,1631,415.014,
BA,2929404,São Miguel das Matas,1614,327.055,
BA,2929503,São Sebastião do Passé,5910,1131.969,
BA,2929602,Sapeaçu,3069,761.945,
BA,2929701,Sátiro Dias,2854,746.36,
BA,2929750,Saubara,3099,585.84,
BA,2929800,Saúde,2102,518.401,
BA,2929909,Seabra,6893,1519.82,
BA,2930006,Sebastião Laranjeiras,1621,343.478,
BA,2930105,Senhor do Bonfim,9895,1767.136,
BA,2930154,Serra do Ramalho,4609,1215.378,
BA,2930204,Sento Sé,7204,2029.049,
BA,2930303,Serra Dourada,2753,552.247,
BA,2930402,Serra Preta,2804,766.161,
BA,2930501,Serrinha,12892,2752.493,
BA,2930600,Serrolândia,2099,468.492,
BA,2930709,Simões Filho,15054,2916.293,
BA,2930758,Sítio do Mato,2466,796.621,
BA,2930766,Sítio do Quinto,2556,624.326,
BA,2930774,Sobradinho,3273,712.97,
BA,2930808,Souto Soares,3058,887.638,
BA,2930907,Tabocas do Brejo Velho,1718,378.67,
BA,2931004,Tanhaçu,3520,607.433,
BA,2931053,Tanque Novo,2356,518.659,
BA,2931103,Tanquinho,1470,336.676,
BA,2931202,Taperoá,3165,595.658,
BA,2931301,Tapiramutá,2673,762.234,
BA,2931350,Teixeira de Freitas,11804,2211.807,
BA,2931400,Teodoro Sampaio,1629,309.967,
BA,2931509,Teofilândia,3102,697.441,
BA,2931608,Teolândia,2534,563.377,
BA,2931707,Terra Nova,3013,694.569,
BA,2931806,Tremedal,2743,795.261,
BA,2931905,Tucano,9850,2904.598,
BA,2932002,Uauá,4996,1174.851,
BA,2932101,Ubaíra,3427,776.337,
BA,2932200,Ubaitaba,2149,409.348,
BA,2932309,Ubatã,2081,465.981,
BA,2932408,Uibaí,2672,784.365,
BA,2932457,Umburanas,2918,630.365,
BA,2932507,Una,3630,796.142,
BA,2932606,Urandi,2462,536.506,
BA,2932705,Uruçuca,3894,881.842,
BA,2932804,Utinga,2925,613.001,
BA,2932903,Valença,9758,2183.153,
BA,2933000,Valente,3610,628.601,
BA,2933059,Várzea da Roça,2929,691.966,
BA,2933109,Várzea do Poço,1396,343.971,
BA,2933158,Várzea Nova,2662,543.768,
BA,2933174,Varzedo,1614,253.855,
BA,2933208,Vera Cruz,7984,1916.285,
BA,2933257,Vereda,955,190.304,
